Persona,Age,Gender,Nationality,Emirate,Income,Shopping_Frequency,Shopping_Channel,Avg_Spend_Bucket,Recent_Luxury_Purchase,Luxury_View,Social_Perception,Motivation,Trade_Off,Discount_Sensitivity,Scenario_Behavior,Categories,Ethnic_Preference,Color_Preference,Kitchenware_Type,Bundle_Preference,Discovery_Channel,Influencer_Impact,Risk_Concern,Max_Spend,Interest_Level,Will_Buy
Value Expat,31-40,Male,Other,Abu Dhabi,5K-10K,Weekly,Online,5000-15000,No,Occasional,Low,Status,Brand,40%+,Luxury Brand,Luxury Fashion,Saree,Bold,Non-stick,Maybe,YouTube,Low,Trust,4955,Neutral,No
Affluent Expat,41-50,Male,Other,Abu Dhabi,10K-25K,Rarely,Mall,5000-15000,Yes,Reward,High,Social Media,Brand,20-40%,Not Buy,Home Decor,Saree,Pastel,NA,No,TikTok,Medium,Quality,18932,Very Interested,Yes
Budget Buyer,21-30,Male,Other,Other,<5K,Weekly,Mixed,1500-5000,No,Not important,Low,Design,Brand,40%+,Wait Discount,Ethnic Wear,Fusion,Neutral,Steel,Yes,TikTok,Medium,Social,2094,Interested,No
Budget Buyer,31-40,Male,Emirati,Sharjah,<5K,Monthly,Mixed,1500-5000,Yes,Not important,High,Status,Design,40%+,Luxury Brand,Kitchenware,Fusion,Bold,Designer,Yes,Mall,None,None,1475,Interested,No
Affluent Expat,31-40,Male,South Asian,Dubai,25K-50K,Weekly,Mall,1500-5000,Yes,Reward,High,Design,Design,10-20%,Wait Discount,Ethnic Wear,Abaya,Bold,Designer,Maybe,TikTok,None,None,19049,Interested,Yes
Value Expat,41-50,Female,Western,Sharjah,5K-10K,Weekly,Online,>15000,Yes,Occasional,High,Status,Design,40%+,Not Buy,Luxury Fashion,NA,Dark,NA,Yes,Mall,Medium,Price,4912,Interested,No
Value Expat,31-40,Male,Other,Other,5K-10K,Occasional,Mall,<500,No,Occasional,Low,Quality,Design,40%+,Niche Brand,Ethnic Wear,Fusion,Pastel,Cast Iron,Maybe,YouTube,Medium,None,3896,Very Interested,Yes
Luxury Emirati,41-50,Male,Arab,Abu Dhabi,>50K,Rarely,Mixed,>15000,Yes,Necessity,Low,Social Media,Design,No discount needed,Not Buy,Accessories,Fusion,Dark,Cast Iron,Yes,YouTube,None,Social,13974,Very Interested,Yes
Budget Buyer,51+,Male,South Asian,Sharjah,<5K,Weekly,Online,500-1500,No,Not important,High,Price,Design,40%+,Wait Discount,Kitchenware,Abaya,Neutral,Designer,No,YouTube,High,Price,503,Neutral,No
Value Expat,21-30,Female,Arab,Other,5K-10K,Rarely,Boutique,<500,Yes,Occasional,High,Price,Design,20-40%,Not Buy,Ethnic Wear,Fusion,Neutral,Cast Iron,No,Mall,None,Social,7690,Neutral,No
Budget Buyer,51+,Female,Emirati,Dubai,<5K,Occasional,Mall,1500-5000,Yes,Not important,High,Price,Design,40%+,Luxury Brand,Accessories,NA,Dark,Cast Iron,Maybe,Influencers,Low,None,2252,Very Interested,No
Affluent Expat,Under21,Female,Emirati,Other,25K-50K,Monthly,Boutique,<500,Yes,Reward,Low,Social Media,Brand,20-40%,Not Buy,Luxury Fashion,Saree,Pastel,Non-stick,Yes,Friends,Low,Quality,16080,Interested,Yes
Budget Buyer,31-40,Male,Other,Sharjah,<5K,Occasional,Boutique,1500-5000,Yes,Not important,High,Price,Design,40%+,Not Buy,Home Decor,NA,Bold,Cast Iron,Yes,Influencers,Medium,Quality,2750,Interested,No
Affluent Expat,41-50,Male,Arab,Dubai,25K-50K,Occasional,Mixed,>15000,Yes,Reward,High,Status,Design,20-40%,Niche Brand,Home Decor,NA,Dark,NA,Yes,Friends,High,Social,19924,Very Interested,Yes
Luxury Emirati,51+,Male,Emirati,Dubai,25K-50K,Occasional,Mixed,1500-5000,Yes,Necessity,Medium,Quality,Design,No discount needed,Luxury Brand,Accessories,Fusion,Neutral,NA,Yes,Friends,None,None,14487,Very Interested,Yes
Budget Buyer,31-40,Female,Western,Other,<5K,Occasional,Mall,>15000,Yes,Not important,High,Status,Brand,40%+,Niche Brand,Accessories,NA,Pastel,NA,Yes,YouTube,None,None,540,Very Interested,No
Luxury Emirati,21-30,Female,Emirati,Sharjah,>50K,Rarely,Online,>15000,Yes,Necessity,Low,Social Media,Brand,No discount needed,Luxury Brand,Accessories,Abaya,Bold,Non-stick,No,Mall,High,Price,18265,Very Interested,Yes
Affluent Expat,51+,Female,Western,Other,25K-50K,Occasional,Mixed,5000-15000,No,Reward,Low,Price,Brand,10-20%,Not Buy,Kitchenware,Abaya,Pastel,Non-stick,Yes,Influencers,Medium,Price,13315,Not Interested,Yes
Budget Buyer,41-50,Male,Other,Dubai,<5K,Weekly,Mixed,<500,No,Not important,Low,Design,Brand,40%+,Luxury Brand,Ethnic Wear,NA,Bold,NA,Maybe,Instagram,None,Quality,433,Interested,No
Budget Buyer,41-50,Male,South Asian,Abu Dhabi,<5K,Occasional,Mall,>15000,No,Not important,High,Quality,Design,40%+,Luxury Brand,Luxury Fashion,NA,Dark,Steel,No,YouTube,Low,Quality,1189,Not Interested,No
Value Expat,21-30,Male,Emirati,Dubai,10K-25K,Occasional,Boutique,1500-5000,No,Occasional,Low,Price,Design,20-40%,Wait Discount,Kitchenware,Fusion,Bold,Cast Iron,Maybe,Friends,High,Quality,5656,Very Interested,Yes
Value Expat,21-30,Male,South Asian,Other,10K-25K,Rarely,Online,1500-5000,Yes,Occasional,High,Quality,Design,20-40%,Luxury Brand,Kitchenware,Abaya,Bold,Steel,No,YouTube,Medium,Price,5482,Interested,Yes
Affluent Expat,Under21,Male,Western,Abu Dhabi,25K-50K,Rarely,Mixed,500-1500,No,Reward,High,Price,Design,20-40%,Wait Discount,Accessories,Saree,Pastel,Steel,No,Friends,High,None,15672,Interested,Yes
Affluent Expat,31-40,Male,Western,Sharjah,10K-25K,Monthly,Boutique,>15000,Yes,Reward,High,Status,Brand,10-20%,Luxury Brand,Ethnic Wear,NA,Bold,Non-stick,No,Mall,High,Social,14391,Not Interested,No
Affluent Expat,21-30,Male,Other,Other,25K-50K,Rarely,Mixed,500-1500,Yes,Reward,High,Quality,Brand,20-40%,Wait Discount,Accessories,Fusion,Bold,Designer,Maybe,Influencers,Medium,Social,14883,Interested,Yes
Value Expat,41-50,Female,South Asian,Sharjah,10K-25K,Rarely,Boutique,500-1500,Yes,Occasional,Low,Quality,Brand,40%+,Not Buy,Luxury Fashion,NA,Pastel,NA,Maybe,Mall,High,None,5630,Neutral,No
Value Expat,41-50,Male,Arab,Abu Dhabi,10K-25K,Monthly,Boutique,>15000,Yes,Occasional,High,Price,Design,20-40%,Not Buy,Luxury Fashion,NA,Neutral,Cast Iron,No,Influencers,High,Trust,1910,Neutral,Yes
Value Expat,Under21,Female,Emirati,Abu Dhabi,10K-25K,Monthly,Mixed,<500,Yes,Occasional,High,Social Media,Brand,40%+,Not Buy,Accessories,NA,Bold,Steel,No,TikTok,None,None,7855,Neutral,Yes
Value Expat,51+,Female,Other,Other,5K-10K,Weekly,Mixed,<500,Yes,Occasional,Medium,Price,Brand,20-40%,Niche Brand,Home Decor,NA,Dark,Cast Iron,Yes,Instagram,None,Trust,6063,Not Interested,No
Luxury Emirati,21-30,Female,Arab,Other,>50K,Weekly,Boutique,5000-15000,Yes,Necessity,Low,Social Media,Brand,No discount needed,Wait Discount,Home Decor,Fusion,Pastel,Steel,Yes,YouTube,None,Quality,41370,Not Interested,Yes
Value Expat,31-40,Female,Arab,Dubai,5K-10K,Rarely,Mall,<500,Yes,Occasional,Low,Quality,Brand,20-40%,Not Buy,Luxury Fashion,Saree,Dark,NA,No,Mall,Low,Quality,5420,Not Interested,No
Luxury Emirati,51+,Male,Other,Dubai,>50K,Weekly,Mall,<500,Yes,Necessity,High,Design,Design,No discount needed,Niche Brand,Home Decor,NA,Pastel,NA,No,Friends,High,Price,14805,Neutral,Yes
Value Expat,51+,Male,Western,Sharjah,10K-25K,Rarely,Boutique,>15000,Yes,Occasional,Low,Social Media,Brand,40%+,Not Buy,Ethnic Wear,Abaya,Dark,Non-stick,No,TikTok,None,Price,1051,Not Interested,Yes
Affluent Expat,Under21,Female,Other,Dubai,25K-50K,Occasional,Mixed,5000-15000,Yes,Reward,Medium,Price,Design,20-40%,Niche Brand,Kitchenware,Abaya,Dark,Steel,Yes,YouTube,Medium,Price,19065,Very Interested,Yes
Budget Buyer,41-50,Female,Other,Sharjah,<5K,Rarely,Boutique,1500-5000,No,Not important,Medium,Quality,Design,40%+,Wait Discount,Kitchenware,Abaya,Neutral,Non-stick,Yes,YouTube,None,Social,1768,Interested,No
Affluent Expat,51+,Male,Other,Dubai,25K-50K,Weekly,Mixed,>15000,No,Reward,Medium,Social Media,Brand,10-20%,Niche Brand,Home Decor,Saree,Bold,Cast Iron,No,TikTok,Medium,Quality,13604,Not Interested,Yes
Luxury Emirati,Under21,Female,Other,Sharjah,>50K,Weekly,Online,5000-15000,Yes,Necessity,Low,Social Media,Brand,No discount needed,Wait Discount,Home Decor,Saree,Bold,Cast Iron,No,TikTok,None,Price,45924,Interested,Yes
Luxury Emirati,31-40,Female,Other,Dubai,>50K,Occasional,Mall,1500-5000,No,Necessity,Low,Quality,Brand,No discount needed,Wait Discount,Accessories,Saree,Pastel,Cast Iron,Maybe,TikTok,Low,None,41607,Interested,Yes
Value Expat,41-50,Female,Arab,Dubai,10K-25K,Occasional,Mixed,5000-15000,Yes,Occasional,Low,Price,Brand,20-40%,Not Buy,Luxury Fashion,Fusion,Bold,Non-stick,Maybe,Friends,Low,Price,5457,Very Interested,Yes
Value Expat,21-30,Male,Western,Abu Dhabi,10K-25K,Monthly,Online,5000-15000,Yes,Occasional,Medium,Quality,Design,20-40%,Wait Discount,Ethnic Wear,NA,Dark,Non-stick,Yes,Friends,None,Price,4709,Very Interested,Yes
Luxury Emirati,Under21,Male,Western,Dubai,>50K,Weekly,Mixed,<500,Yes,Necessity,High,Quality,Brand,No discount needed,Niche Brand,Luxury Fashion,Fusion,Neutral,Designer,Maybe,Mall,High,Price,15919,Neutral,Yes
Luxury Emirati,21-30,Female,Arab,Other,>50K,Rarely,Online,<500,Yes,Necessity,Low,Price,Design,No discount needed,Luxury Brand,Accessories,Saree,Neutral,NA,Maybe,YouTube,Medium,None,47205,Neutral,Yes
Value Expat,51+,Male,South Asian,Sharjah,5K-10K,Monthly,Online,>15000,Yes,Occasional,Medium,Social Media,Design,40%+,Niche Brand,Ethnic Wear,Fusion,Neutral,Designer,Maybe,YouTube,High,Social,7649,Interested,Yes
Luxury Emirati,51+,Male,Western,Sharjah,25K-50K,Weekly,Mixed,>15000,Yes,Necessity,Medium,Social Media,Design,No discount needed,Luxury Brand,Luxury Fashion,NA,Dark,Designer,No,Friends,Low,Price,10160,Very Interested,Yes
Budget Buyer,Under21,Male,South Asian,Sharjah,<5K,Occasional,Mixed,5000-15000,No,Not important,Medium,Design,Design,40%+,Not Buy,Ethnic Wear,Abaya,Bold,Cast Iron,Yes,Friends,Low,None,1074,Not Interested,No
Value Expat,51+,Male,Emirati,Other,10K-25K,Weekly,Mixed,500-1500,Yes,Occasional,Medium,Price,Brand,20-40%,Luxury Brand,Luxury Fashion,Fusion,Neutral,Non-stick,Yes,Instagram,None,Quality,5879,Neutral,No
Luxury Emirati,Under21,Male,Western,Dubai,>50K,Weekly,Online,1500-5000,No,Necessity,Medium,Status,Design,No discount needed,Niche Brand,Accessories,Fusion,Neutral,Cast Iron,Maybe,YouTube,None,Price,46501,Not Interested,Yes
Luxury Emirati,Under21,Female,Arab,Other,>50K,Monthly,Mall,>15000,Yes,Necessity,Medium,Quality,Design,No discount needed,Wait Discount,Luxury Fashion,Abaya,Dark,Steel,Yes,TikTok,None,Quality,8730,Interested,Yes
Budget Buyer,41-50,Female,Emirati,Other,<5K,Monthly,Mixed,>15000,No,Not important,Medium,Price,Brand,40%+,Wait Discount,Ethnic Wear,Abaya,Neutral,Designer,No,TikTok,None,Trust,1108,Not Interested,No
Affluent Expat,51+,Female,Western,Sharjah,25K-50K,Occasional,Online,5000-15000,No,Reward,Low,Quality,Design,10-20%,Luxury Brand,Home Decor,Fusion,Pastel,Non-stick,Maybe,TikTok,High,Social,6239,Very Interested,Yes
Affluent Expat,21-30,Female,Arab,Sharjah,25K-50K,Occasional,Boutique,<500,Yes,Reward,Low,Social Media,Design,20-40%,Wait Discount,Luxury Fashion,Fusion,Neutral,NA,Yes,Instagram,High,None,6442,Not Interested,No
Budget Buyer,51+,Female,Arab,Abu Dhabi,<5K,Weekly,Mall,500-1500,No,Not important,Low,Social Media,Brand,40%+,Not Buy,Home Decor,Abaya,Pastel,Designer,No,Influencers,None,Social,954,Neutral,No
Budget Buyer,21-30,Female,Emirati,Dubai,<5K,Weekly,Mall,>15000,No,Not important,Low,Quality,Brand,40%+,Not Buy,Accessories,NA,Bold,Cast Iron,No,Mall,Low,Social,1886,Not Interested,No
Budget Buyer,Under21,Male,Other,Other,<5K,Weekly,Mall,>15000,No,Not important,Low,Quality,Design,40%+,Wait Discount,Home Decor,Abaya,Bold,Designer,Yes,Mall,Low,Price,452,Interested,No
Value Expat,21-30,Female,Other,Sharjah,5K-10K,Monthly,Mixed,5000-15000,Yes,Occasional,Medium,Social Media,Design,20-40%,Niche Brand,Kitchenware,NA,Neutral,Cast Iron,Maybe,Influencers,High,None,5192,Very Interested,No
Affluent Expat,41-50,Male,Other,Abu Dhabi,10K-25K,Occasional,Online,<500,Yes,Reward,High,Quality,Brand,10-20%,Niche Brand,Ethnic Wear,Saree,Pastel,Non-stick,Maybe,Friends,Medium,Quality,9931,Neutral,Yes
Luxury Emirati,51+,Female,Other,Other,>50K,Rarely,Mall,1500-5000,Yes,Necessity,Low,Social Media,Design,No discount needed,Wait Discount,Accessories,NA,Dark,NA,Maybe,Instagram,High,Quality,16556,Interested,Yes
Value Expat,31-40,Male,Other,Dubai,10K-25K,Weekly,Online,<500,No,Occasional,Low,Price,Design,40%+,Not Buy,Luxury Fashion,Saree,Neutral,Cast Iron,No,Mall,None,Social,1951,Interested,Yes
Value Expat,31-40,Male,Other,Abu Dhabi,10K-25K,Monthly,Boutique,1500-5000,Yes,Occasional,Medium,Social Media,Design,20-40%,Luxury Brand,Luxury Fashion,Abaya,Dark,Cast Iron,Maybe,YouTube,None,Social,3398,Neutral,Yes
Affluent Expat,41-50,Female,Western,Sharjah,25K-50K,Occasional,Mixed,1500-5000,No,Reward,Low,Status,Brand,20-40%,Niche Brand,Accessories,Fusion,Dark,Designer,Maybe,YouTube,Medium,Social,17690,Not Interested,Yes
Budget Buyer,41-50,Male,Arab,Sharjah,<5K,Weekly,Mixed,500-1500,No,Not important,Low,Price,Brand,40%+,Niche Brand,Ethnic Wear,Fusion,Dark,NA,No,Friends,High,Quality,333,Neutral,No
Luxury Emirati,41-50,Male,Western,Abu Dhabi,>50K,Rarely,Mall,1500-5000,No,Necessity,Medium,Price,Brand,No discount needed,Luxury Brand,Accessories,Fusion,Neutral,Non-stick,Maybe,YouTube,None,None,32187,Very Interested,Yes
Value Expat,51+,Male,Other,Other,10K-25K,Weekly,Mixed,5000-15000,Yes,Occasional,High,Price,Design,40%+,Not Buy,Kitchenware,NA,Neutral,NA,No,Instagram,None,Trust,6645,Very Interested,Yes
Luxury Emirati,41-50,Female,South Asian,Sharjah,>50K,Rarely,Mall,>15000,No,Necessity,Low,Quality,Brand,No discount needed,Luxury Brand,Luxury Fashion,Abaya,Bold,Cast Iron,Yes,Mall,High,None,29507,Neutral,Yes
Value Expat,21-30,Female,Arab,Abu Dhabi,10K-25K,Weekly,Boutique,1500-5000,Yes,Occasional,High,Design,Brand,20-40%,Luxury Brand,Ethnic Wear,NA,Dark,NA,Maybe,Instagram,None,Social,7391,Very Interested,Yes
Luxury Emirati,31-40,Female,South Asian,Dubai,>50K,Monthly,Boutique,1500-5000,Yes,Necessity,Medium,Design,Brand,No discount needed,Niche Brand,Luxury Fashion,Fusion,Pastel,NA,Yes,Friends,High,None,30161,Not Interested,Yes
Luxury Emirati,21-30,Female,Western,Other,>50K,Rarely,Online,1500-5000,No,Necessity,Low,Quality,Design,No discount needed,Wait Discount,Accessories,NA,Dark,Non-stick,Yes,Friends,Medium,Social,33669,Not Interested,Yes
Luxury Emirati,Under21,Female,Arab,Dubai,>50K,Monthly,Online,5000-15000,Yes,Necessity,Medium,Quality,Brand,No discount needed,Niche Brand,Accessories,Fusion,Pastel,Non-stick,No,Friends,None,Price,8615,Not Interested,Yes
Value Expat,21-30,Female,Arab,Other,10K-25K,Occasional,Mixed,500-1500,Yes,Occasional,High,Price,Design,40%+,Wait Discount,Ethnic Wear,NA,Pastel,Cast Iron,No,YouTube,Medium,None,3926,Not Interested,No
Value Expat,Under21,Male,South Asian,Sharjah,10K-25K,Rarely,Boutique,1500-5000,Yes,Occasional,Medium,Social Media,Brand,20-40%,Niche Brand,Kitchenware,Fusion,Pastel,Non-stick,Maybe,Influencers,Low,Quality,5210,Interested,No
Value Expat,31-40,Female,Western,Sharjah,10K-25K,Occasional,Mixed,<500,Yes,Occasional,High,Status,Brand,40%+,Not Buy,Kitchenware,Fusion,Neutral,Designer,Yes,Influencers,High,Price,2904,Very Interested,Yes
Budget Buyer,51+,Female,Other,Dubai,<5K,Occasional,Mall,>15000,Yes,Not important,Low,Quality,Brand,40%+,Not Buy,Luxury Fashion,Abaya,Neutral,Non-stick,Yes,Mall,Low,None,1870,Not Interested,No
Affluent Expat,41-50,Male,Western,Dubai,25K-50K,Weekly,Boutique,<500,Yes,Reward,Medium,Social Media,Design,20-40%,Not Buy,Home Decor,Saree,Neutral,Steel,Maybe,Influencers,None,Price,16587,Very Interested,Yes
Affluent Expat,41-50,Male,Arab,Other,25K-50K,Rarely,Mall,1500-5000,Yes,Reward,High,Price,Design,20-40%,Luxury Brand,Kitchenware,Fusion,Bold,Non-stick,Maybe,TikTok,Medium,Trust,15447,Very Interested,Yes
Budget Buyer,Under21,Female,Arab,Abu Dhabi,<5K,Rarely,Online,<500,No,Not important,High,Price,Brand,40%+,Luxury Brand,Kitchenware,Fusion,Dark,NA,No,Instagram,Low,Price,747,Interested,No
Affluent Expat,Under21,Male,South Asian,Dubai,25K-50K,Monthly,Boutique,1500-5000,Yes,Reward,Medium,Status,Brand,20-40%,Not Buy,Accessories,Saree,Pastel,Non-stick,No,Mall,None,None,18748,Not Interested,Yes
Budget Buyer,41-50,Female,Other,Dubai,<5K,Monthly,Mixed,1500-5000,No,Not important,High,Quality,Brand,40%+,Wait Discount,Kitchenware,NA,Bold,Cast Iron,No,Influencers,None,Price,1067,Very Interested,No
Luxury Emirati,21-30,Male,Western,Dubai,>50K,Rarely,Boutique,1500-5000,Yes,Necessity,Low,Quality,Brand,No discount needed,Luxury Brand,Luxury Fashion,Abaya,Pastel,Designer,No,Friends,None,Trust,37989,Very Interested,Yes
Budget Buyer,41-50,Female,Other,Other,<5K,Occasional,Boutique,1500-5000,No,Not important,Medium,Price,Brand,40%+,Not Buy,Home Decor,NA,Neutral,NA,Yes,Instagram,Medium,Trust,1725,Interested,No
Luxury Emirati,31-40,Male,Emirati,Sharjah,>50K,Occasional,Online,<500,Yes,Necessity,Low,Social Media,Brand,No discount needed,Not Buy,Home Decor,NA,Neutral,Steel,Maybe,Friends,Low,Trust,45532,Interested,Yes
Budget Buyer,31-40,Male,Emirati,Sharjah,<5K,Occasional,Mall,500-1500,No,Not important,Medium,Social Media,Brand,40%+,Luxury Brand,Ethnic Wear,NA,Neutral,Steel,Yes,TikTok,High,Trust,1043,Neutral,No
Value Expat,31-40,Female,South Asian,Dubai,5K-10K,Monthly,Mall,5000-15000,Yes,Occasional,Low,Quality,Brand,20-40%,Wait Discount,Ethnic Wear,Abaya,Pastel,Designer,No,Influencers,Medium,Trust,4056,Neutral,Yes
Budget Buyer,21-30,Male,South Asian,Abu Dhabi,<5K,Weekly,Mixed,1500-5000,Yes,Not important,High,Social Media,Design,40%+,Niche Brand,Home Decor,NA,Pastel,Designer,No,Friends,Medium,Trust,1509,Not Interested,No
Luxury Emirati,51+,Male,South Asian,Dubai,>50K,Monthly,Mall,1500-5000,Yes,Necessity,High,Price,Brand,No discount needed,Not Buy,Kitchenware,Saree,Neutral,NA,Yes,Friends,Low,Trust,37520,Not Interested,Yes
Value Expat,Under21,Male,Other,Other,10K-25K,Occasional,Boutique,1500-5000,No,Occasional,High,Social Media,Design,20-40%,Niche Brand,Ethnic Wear,Abaya,Dark,Designer,Yes,Influencers,Low,Social,1633,Not Interested,No
Budget Buyer,51+,Male,Western,Sharjah,<5K,Monthly,Mixed,<500,Yes,Not important,High,Design,Design,40%+,Luxury Brand,Ethnic Wear,Fusion,Neutral,Cast Iron,Yes,TikTok,Low,None,724,Neutral,No
Value Expat,31-40,Female,Emirati,Other,5K-10K,Monthly,Mall,5000-15000,Yes,Occasional,Medium,Social Media,Brand,20-40%,Not Buy,Accessories,Abaya,Bold,NA,Yes,Friends,Low,Quality,6545,Not Interested,No
Value Expat,21-30,Male,South Asian,Dubai,5K-10K,Rarely,Boutique,500-1500,No,Occasional,Medium,Social Media,Brand,40%+,Niche Brand,Home Decor,Fusion,Pastel,Non-stick,No,Instagram,Medium,Trust,6807,Very Interested,No
Value Expat,31-40,Female,Other,Sharjah,10K-25K,Weekly,Boutique,500-1500,Yes,Occasional,Medium,Price,Design,40%+,Wait Discount,Home Decor,Saree,Pastel,NA,Yes,Mall,High,Price,2851,Not Interested,No
Affluent Expat,31-40,Male,South Asian,Other,25K-50K,Weekly,Boutique,1500-5000,Yes,Reward,Medium,Social Media,Design,20-40%,Wait Discount,Accessories,NA,Dark,Designer,Maybe,YouTube,High,Quality,14217,Neutral,Yes
Value Expat,51+,Female,Arab,Dubai,10K-25K,Monthly,Mall,>15000,Yes,Occasional,Medium,Status,Brand,40%+,Niche Brand,Ethnic Wear,Abaya,Neutral,NA,No,Friends,Low,Price,2075,Neutral,No
Value Expat,51+,Female,South Asian,Other,10K-25K,Weekly,Mixed,>15000,No,Occasional,High,Quality,Design,40%+,Not Buy,Home Decor,NA,Dark,Cast Iron,Maybe,Mall,None,None,1394,Interested,No
Budget Buyer,21-30,Female,Western,Dubai,<5K,Weekly,Boutique,1500-5000,No,Not important,Medium,Price,Design,40%+,Not Buy,Luxury Fashion,Abaya,Dark,Steel,No,Influencers,Low,None,2522,Very Interested,No
Luxury Emirati,41-50,Female,Western,Abu Dhabi,25K-50K,Rarely,Boutique,5000-15000,No,Necessity,Low,Quality,Design,No discount needed,Luxury Brand,Luxury Fashion,NA,Bold,Non-stick,Yes,Instagram,Low,Quality,13361,Not Interested,Yes
Affluent Expat,51+,Female,Western,Other,25K-50K,Monthly,Online,1500-5000,Yes,Reward,High,Design,Design,20-40%,Wait Discount,Ethnic Wear,NA,Neutral,Designer,Yes,Mall,Low,Price,14530,Very Interested,Yes
Budget Buyer,41-50,Male,South Asian,Other,<5K,Weekly,Online,5000-15000,Yes,Not important,High,Price,Brand,40%+,Wait Discount,Luxury Fashion,Abaya,Bold,Non-stick,Yes,TikTok,None,None,2156,Very Interested,No
Budget Buyer,41-50,Female,Arab,Dubai,<5K,Rarely,Online,>15000,No,Not important,High,Status,Design,40%+,Not Buy,Home Decor,Saree,Neutral,Non-stick,Yes,TikTok,Low,Trust,1765,Very Interested,No
Affluent Expat,21-30,Female,Western,Other,10K-25K,Monthly,Online,5000-15000,Yes,Reward,Medium,Price,Design,20-40%,Not Buy,Kitchenware,Saree,Bold,Cast Iron,Yes,Mall,Low,Trust,4080,Interested,Yes
Value Expat,41-50,Male,Other,Abu Dhabi,10K-25K,Monthly,Online,5000-15000,Yes,Occasional,High,Status,Design,20-40%,Not Buy,Accessories,Fusion,Neutral,Designer,No,Friends,Low,Price,4087,Not Interested,No
Affluent Expat,31-40,Male,South Asian,Other,25K-50K,Occasional,Online,500-1500,Yes,Reward,Low,Social Media,Design,10-20%,Niche Brand,Kitchenware,Fusion,Neutral,NA,Yes,Instagram,High,Quality,14344,Interested,Yes
Affluent Expat,51+,Female,Other,Dubai,10K-25K,Rarely,Boutique,5000-15000,Yes,Reward,High,Design,Design,10-20%,Not Buy,Ethnic Wear,NA,Bold,Non-stick,No,YouTube,High,Trust,9525,Interested,Yes
Value Expat,51+,Female,Western,Other,10K-25K,Weekly,Mall,5000-15000,Yes,Occasional,Low,Social Media,Design,40%+,Niche Brand,Ethnic Wear,Fusion,Dark,Steel,Yes,TikTok,High,Quality,7177,Interested,Yes
Affluent Expat,31-40,Female,Other,Abu Dhabi,10K-25K,Weekly,Mixed,1500-5000,No,Reward,Medium,Price,Design,10-20%,Niche Brand,Home Decor,NA,Dark,Non-stick,No,YouTube,Medium,Quality,5124,Interested,Yes
Value Expat,31-40,Male,South Asian,Other,5K-10K,Rarely,Online,>15000,Yes,Occasional,High,Social Media,Brand,40%+,Niche Brand,Accessories,Fusion,Dark,Designer,No,Instagram,High,Price,3581,Not Interested,Yes
Luxury Emirati,21-30,Male,Arab,Sharjah,>50K,Occasional,Boutique,500-1500,Yes,Necessity,High,Social Media,Design,No discount needed,Luxury Brand,Home Decor,Abaya,Dark,Designer,Yes,Mall,Low,None,11199,Not Interested,Yes
Budget Buyer,21-30,Female,South Asian,Abu Dhabi,<5K,Weekly,Boutique,500-1500,No,Not important,Medium,Price,Design,40%+,Not Buy,Home Decor,Fusion,Neutral,Steel,Yes,Friends,High,Price,2941,Neutral,No
Budget Buyer,21-30,Male,Western,Abu Dhabi,<5K,Monthly,Mall,5000-15000,No,Not important,High,Quality,Brand,40%+,Niche Brand,Kitchenware,Saree,Bold,Steel,Maybe,TikTok,Low,Social,692,Interested,No
Value Expat,21-30,Male,South Asian,Dubai,5K-10K,Monthly,Boutique,1500-5000,Yes,Occasional,Low,Price,Design,20-40%,Wait Discount,Luxury Fashion,Fusion,Neutral,Cast Iron,Maybe,Influencers,Low,Quality,4688,Neutral,No
Value Expat,41-50,Male,Emirati,Abu Dhabi,10K-25K,Rarely,Online,500-1500,Yes,Occasional,High,Price,Design,20-40%,Luxury Brand,Accessories,Fusion,Pastel,Non-stick,No,Instagram,Low,Price,5137,Not Interested,No
Affluent Expat,31-40,Female,Western,Sharjah,10K-25K,Occasional,Mixed,>15000,Yes,Reward,Medium,Quality,Design,20-40%,Wait Discount,Home Decor,NA,Pastel,Steel,Maybe,Instagram,High,Price,18946,Neutral,No
Budget Buyer,Under21,Male,Emirati,Sharjah,<5K,Rarely,Mall,>15000,No,Not important,Medium,Price,Brand,40%+,Wait Discount,Kitchenware,Abaya,Dark,NA,No,Friends,High,Price,2653,Very Interested,No
Value Expat,31-40,Female,Other,Sharjah,10K-25K,Occasional,Mixed,1500-5000,No,Occasional,High,Price,Brand,20-40%,Luxury Brand,Kitchenware,NA,Dark,Designer,No,TikTok,High,Trust,1345,Neutral,No
Luxury Emirati,51+,Female,Western,Sharjah,>50K,Weekly,Online,5000-15000,No,Necessity,Medium,Design,Brand,No discount needed,Wait Discount,Accessories,Abaya,Bold,Steel,No,Influencers,Medium,Price,28662,Interested,Yes
Budget Buyer,41-50,Female,Western,Sharjah,<5K,Occasional,Boutique,<500,No,Not important,High,Price,Brand,40%+,Not Buy,Luxury Fashion,Saree,Dark,Cast Iron,No,Instagram,None,Price,2686,Not Interested,No
Budget Buyer,Under21,Male,Arab,Dubai,<5K,Occasional,Mall,<500,No,Not important,High,Quality,Design,40%+,Wait Discount,Ethnic Wear,NA,Bold,Non-stick,No,Influencers,None,Price,1075,Neutral,No
Budget Buyer,31-40,Male,South Asian,Dubai,<5K,Monthly,Online,>15000,Yes,Not important,Low,Design,Brand,40%+,Niche Brand,Ethnic Wear,Fusion,Bold,Steel,No,YouTube,None,None,1328,Not Interested,No
